t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
15742.0,04:22:22,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,482.0,482,32,high,run08,client
15757.0,04:22:37,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,497.0,497,33,high,run08,client
15772.0,04:22:52,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,512.0,512,34,high,run08,client
15787.0,04:23:07,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,527.0,527,35,high,run08,client
15802.0,04:23:22,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,542.0,542,36,high,run08,client
15817.0,04:23:37,boundary1,10.0.10.4,10,u,3.0,64,1,1,*,True,56.862,-28.031,22.0427,*boundary1       10.0.10.4       10 u    3   64    1  56.8620 -28.0310  22.0427,557.0,557,37,high,run08,client
15832.0,04:23:52,boundary1,10.0.10.4,10,u,18.0,64,1,1,*,True,56.862,-28.031,22.0427,*boundary1       10.0.10.4       10 u   18   64    1  56.8620 -28.0310  22.0427,572.0,572,38,high,run08,client
15848.0,04:24:08,boundary1,10.0.10.4,10,u,33.0,64,1,1,*,True,56.862,-28.031,22.0427,*boundary1       10.0.10.4       10 u   33   64    1  56.8620 -28.0310  22.0427,588.0,588,39,high,run08,client
15863.0,04:24:23,boundary1,10.0.10.4,10,u,48.0,64,1,1,*,True,56.862,-28.031,22.0427,*boundary1       10.0.10.4       10 u   48   64    1  56.8620 -28.0310  22.0427,603.0,603,40,high,run08,client
15878.0,04:24:38,boundary1,10.0.10.4,10,u,5.0,64,3,3,*,True,51.4337,-25.2887,18.1028,*boundary1       10.0.10.4       10 u    5   64    3  51.4337 -25.2887  18.1028,618.0,618,41,high,run08,client
15893.0,04:24:53,boundary1,10.0.10.4,10,u,20.0,64,3,3,*,True,51.4337,-25.2887,18.1028,*boundary1       10.0.10.4       10 u   20   64    3  51.4337 -25.2887  18.1028,633.0,633,42,high,run08,client
15908.0,04:25:08,boundary1,10.0.10.4,10,u,35.0,64,3,3,*,True,51.4337,-25.2887,18.1028,*boundary1       10.0.10.4       10 u   35   64    3  51.4337 -25.2887  18.1028,648.0,648,43,high,run08,client
15923.0,04:25:23,boundary1,10.0.10.4,10,u,50.0,64,3,3,*,True,51.4337,-25.2887,18.1028,*boundary1       10.0.10.4       10 u   50   64    3  51.4337 -25.2887  18.1028,663.0,663,44,high,run08,client
15938.0,04:25:38,boundary1,10.0.10.4,10,u,65.0,64,3,3,*,True,51.4337,-25.2887,18.1028,*boundary1       10.0.10.4       10 u   65   64    3  51.4337 -25.2887  18.1028,678.0,678,45,high,run08,client
15953.0,04:25:53,boundary1,10.0.10.4,10,u,11.0,64,7,7,*,True,54.7558,-27.0504,17.9544,*boundary1       10.0.10.4       10 u   11   64    7  54.7558 -27.0504  17.9544,693.0,693,46,high,run08,client
15968.0,04:26:08,boundary1,10.0.10.4,10,u,26.0,64,7,7,*,True,54.7558,-27.0504,17.9544,*boundary1       10.0.10.4       10 u   26   64    7  54.7558 -27.0504  17.9544,708.0,708,47,high,run08,client
15983.0,04:26:23,boundary1,10.0.10.4,10,u,41.0,64,7,7,*,True,54.7558,-27.0504,17.9544,*boundary1       10.0.10.4       10 u   41   64    7  54.7558 -27.0504  17.9544,723.0,723,48,high,run08,client
15998.0,04:26:38,boundary1,10.0.10.4,10,u,56.0,64,7,7,*,True,54.7558,-27.0504,17.9544,*boundary1       10.0.10.4       10 u   56   64    7  54.7558 -27.0504  17.9544,738.0,738,49,high,run08,client
16013.0,04:26:53,boundary1,10.0.10.4,10,u,5.0,64,17,15,*,True,54.7173,-25.8321,13.998,*boundary1       10.0.10.4       10 u    5   64   17  54.7173 -25.8321  13.9980,753.0,753,50,high,run08,client
16028.0,04:27:08,boundary1,10.0.10.4,10,u,20.0,64,17,15,*,True,54.7173,-25.8321,13.998,*boundary1       10.0.10.4       10 u   20   64   17  54.7173 -25.8321  13.9980,768.0,768,51,high,run08,client
16043.0,04:27:23,boundary1,10.0.10.4,10,u,36.0,64,17,15,*,True,54.7173,-25.8321,13.998,*boundary1       10.0.10.4       10 u   36   64   17  54.7173 -25.8321  13.9980,783.0,783,52,high,run08,client
16058.0,04:27:38,boundary1,10.0.10.4,10,u,51.0,64,17,15,*,True,54.7173,-25.8321,13.998,*boundary1       10.0.10.4       10 u   51   64   17  54.7173 -25.8321  13.9980,798.0,798,53,high,run08,client
16074.0,04:27:54,boundary1,10.0.10.4,10,u,66.0,64,17,15,*,True,54.7173,-25.8321,13.998,*boundary1       10.0.10.4       10 u   66   64   17  54.7173 -25.8321  13.9980,814.0,814,54,high,run08,client
16089.0,04:28:09,boundary1,10.0.10.4,10,u,14.0,64,37,31,*,True,72.9986,-35.9239,16.8088,*boundary1       10.0.10.4       10 u   14   64   37  72.9986 -35.9239  16.8088,829.0,829,55,high,run08,client
16104.0,04:28:24,boundary1,10.0.10.4,10,u,29.0,64,37,31,*,True,72.9986,-35.9239,16.8088,*boundary1       10.0.10.4       10 u   29   64   37  72.9986 -35.9239  16.8088,844.0,844,56,high,run08,client
16119.0,04:28:39,boundary1,10.0.10.4,10,u,44.0,64,37,31,*,True,72.9986,-35.9239,16.8088,*boundary1       10.0.10.4       10 u   44   64   37  72.9986 -35.9239  16.8088,859.0,859,57,high,run08,client
16134.0,04:28:54,boundary1,10.0.10.4,10,u,59.0,64,37,31,*,True,72.9986,-35.9239,16.8088,*boundary1       10.0.10.4       10 u   59   64   37  72.9986 -35.9239  16.8088,874.0,874,58,high,run08,client
16149.0,04:29:09,boundary1,10.0.10.4,10,u,8.0,64,77,63,*,True,66.6758,-32.7446,6.8865,*boundary1       10.0.10.4       10 u    8   64   77  66.6758 -32.7446   6.8865,889.0,889,59,high,run08,client
16164.0,04:29:24,boundary1,10.0.10.4,10,u,23.0,64,77,63,*,True,66.6758,-32.7446,6.8865,*boundary1       10.0.10.4       10 u   23   64   77  66.6758 -32.7446   6.8865,904.0,904,60,high,run08,client
16179.0,04:29:39,boundary1,10.0.10.4,10,u,38.0,64,77,63,*,True,66.6758,-32.7446,6.8865,*boundary1       10.0.10.4       10 u   38   64   77  66.6758 -32.7446   6.8865,919.0,919,61,high,run08,client
16194.0,04:29:54,boundary1,10.0.10.4,10,u,53.0,64,77,63,*,True,66.6758,-32.7446,6.8865,*boundary1       10.0.10.4       10 u   53   64   77  66.6758 -32.7446   6.8865,934.0,934,62,high,run08,client
16209.0,04:30:09,boundary1,10.0.10.4,10,u,1.0,64,177,127,*,True,77.9532,-36.5005,8.6074,*boundary1       10.0.10.4       10 u    1   64  177  77.9532 -36.5005   8.6074,949.0,949,63,high,run08,client
16224.0,04:30:24,boundary1,10.0.10.4,10,u,16.0,64,177,127,*,True,77.9532,-36.5005,8.6074,*boundary1       10.0.10.4       10 u   16   64  177  77.9532 -36.5005   8.6074,964.0,964,64,high,run08,client
16239.0,04:30:39,boundary1,10.0.10.4,10,u,31.0,64,177,127,*,True,77.9532,-36.5005,8.6074,*boundary1       10.0.10.4       10 u   31   64  177  77.9532 -36.5005   8.6074,979.0,979,65,high,run08,client
16254.0,04:30:54,boundary1,10.0.10.4,10,u,46.0,64,177,127,*,True,77.9532,-36.5005,8.6074,*boundary1       10.0.10.4       10 u   46   64  177  77.9532 -36.5005   8.6074,994.0,994,66,high,run08,client
16269.0,04:31:09,boundary1,10.0.10.4,10,u,61.0,64,177,127,*,True,77.9532,-36.5005,8.6074,*boundary1       10.0.10.4       10 u   61   64  177  77.9532 -36.5005   8.6074,1009.0,1009,67,high,run08,client
16284.0,04:31:24,boundary1,10.0.10.4,10,u,8.0,64,377,255,*,True,2.2324,-0.2729,30.2477,*boundary1       10.0.10.4       10 u    8   64  377   2.2324  -0.2729  30.2477,1024.0,1024,68,high,run08,client
16300.0,04:31:40,boundary1,10.0.10.4,10,u,23.0,64,377,255,*,True,2.2324,-0.2729,30.2477,*boundary1       10.0.10.4       10 u   23   64  377   2.2324  -0.2729  30.2477,1040.0,1040,69,high,run08,client
16315.0,04:31:55,boundary1,10.0.10.4,10,u,38.0,64,377,255,*,True,2.2324,-0.2729,30.2477,*boundary1       10.0.10.4       10 u   38   64  377   2.2324  -0.2729  30.2477,1055.0,1055,70,high,run08,client
16330.0,04:32:10,boundary1,10.0.10.4,10,u,53.0,64,377,255,*,True,2.2324,-0.2729,30.2477,*boundary1       10.0.10.4       10 u   53   64  377   2.2324  -0.2729  30.2477,1070.0,1070,71,high,run08,client
16345.0,04:32:25,boundary1,10.0.10.4,10,u,1.0,64,377,255,*,True,2.2324,-0.2729,31.1613,*boundary1       10.0.10.4       10 u    1   64  377   2.2324  -0.2729  31.1613,1085.0,1085,72,high,run08,client
16360.0,04:32:40,boundary1,10.0.10.4,10,u,16.0,64,377,255,*,True,2.2324,-0.2729,31.1613,*boundary1       10.0.10.4       10 u   16   64  377   2.2324  -0.2729  31.1613,1100.0,1100,73,high,run08,client
16375.0,04:32:55,boundary1,10.0.10.4,10,u,31.0,64,377,255,*,True,2.2324,-0.2729,31.1613,*boundary1       10.0.10.4       10 u   31   64  377   2.2324  -0.2729  31.1613,1115.0,1115,74,high,run08,client
16390.0,04:33:10,boundary1,10.0.10.4,10,u,46.0,64,377,255,*,True,2.2324,-0.2729,31.1613,*boundary1       10.0.10.4       10 u   46   64  377   2.2324  -0.2729  31.1613,1130.0,1130,75,high,run08,client
16405.0,04:33:25,boundary1,10.0.10.4,10,u,61.0,64,377,255,*,True,2.2324,-0.2729,31.1613,*boundary1       10.0.10.4       10 u   61   64  377   2.2324  -0.2729  31.1613,1145.0,1145,76,high,run08,client
16420.0,04:33:40,boundary1,10.0.10.4,10,u,8.0,64,377,255,*,True,2.2324,-0.2729,32.2068,*boundary1       10.0.10.4       10 u    8   64  377   2.2324  -0.2729  32.2068,1160.0,1160,77,high,run08,client
16435.0,04:33:55,boundary1,10.0.10.4,10,u,23.0,64,377,255,*,True,2.2324,-0.2729,32.2068,*boundary1       10.0.10.4       10 u   23   64  377   2.2324  -0.2729  32.2068,1175.0,1175,78,high,run08,client
16450.0,04:34:10,boundary1,10.0.10.4,10,u,38.0,64,377,255,*,True,2.2324,-0.2729,32.2068,*boundary1       10.0.10.4       10 u   38   64  377   2.2324  -0.2729  32.2068,1190.0,1190,79,high,run08,client
16465.0,04:34:25,boundary1,10.0.10.4,10,u,53.0,64,377,255,*,True,2.2324,-0.2729,32.2068,*boundary1       10.0.10.4       10 u   53   64  377   2.2324  -0.2729  32.2068,1205.0,1205,80,high,run08,client
16480.0,04:34:40,boundary1,10.0.10.4,10,u,68.0,64,377,255,*,True,2.2324,-0.2729,32.2068,*boundary1       10.0.10.4       10 u   68   64  377   2.2324  -0.2729  32.2068,1220.0,1220,81,high,run08,client
16495.0,04:34:55,boundary1,10.0.10.4,10,u,14.0,64,377,255,*,True,2.2324,-0.2729,32.4962,*boundary1       10.0.10.4       10 u   14   64  377   2.2324  -0.2729  32.4962,1235.0,1235,82,high,run08,client
16510.0,04:35:10,boundary1,10.0.10.4,10,u,30.0,64,377,255,*,True,2.2324,-0.2729,32.4962,*boundary1       10.0.10.4       10 u   30   64  377   2.2324  -0.2729  32.4962,1250.0,1250,83,high,run08,client
16525.0,04:35:25,boundary1,10.0.10.4,10,u,45.0,64,377,255,*,True,2.2324,-0.2729,32.4962,*boundary1       10.0.10.4       10 u   45   64  377   2.2324  -0.2729  32.4962,1265.0,1265,84,high,run08,client
16541.0,04:35:41,boundary1,10.0.10.4,10,u,60.0,64,377,255,*,True,2.2324,-0.2729,32.4962,*boundary1       10.0.10.4       10 u   60   64  377   2.2324  -0.2729  32.4962,1281.0,1281,85,high,run08,client
16556.0,04:35:56,boundary1,10.0.10.4,10,u,7.0,64,377,255,*,True,2.2324,-0.2729,32.0171,*boundary1       10.0.10.4       10 u    7   64  377   2.2324  -0.2729  32.0171,1296.0,1296,86,high,run08,client
16571.0,04:36:11,boundary1,10.0.10.4,10,u,22.0,64,377,255,*,True,2.2324,-0.2729,32.0171,*boundary1       10.0.10.4       10 u   22   64  377   2.2324  -0.2729  32.0171,1311.0,1311,87,high,run08,client
16586.0,04:36:26,boundary1,10.0.10.4,10,u,37.0,64,377,255,*,True,2.2324,-0.2729,32.0171,*boundary1       10.0.10.4       10 u   37   64  377   2.2324  -0.2729  32.0171,1326.0,1326,88,high,run08,client
16601.0,04:36:41,boundary1,10.0.10.4,10,u,52.0,64,377,255,*,True,2.2324,-0.2729,32.0171,*boundary1       10.0.10.4       10 u   52   64  377   2.2324  -0.2729  32.0171,1341.0,1341,89,high,run08,client
16616.0,04:36:56,boundary1,10.0.10.4,10,u,1.0,64,377,255,*,True,2.2324,-0.2729,30.3073,*boundary1       10.0.10.4       10 u    1   64  377   2.2324  -0.2729  30.3073,1356.0,1356,90,high,run08,client
16631.0,04:37:11,boundary1,10.0.10.4,10,u,16.0,64,377,255,*,True,2.2324,-0.2729,30.3073,*boundary1       10.0.10.4       10 u   16   64  377   2.2324  -0.2729  30.3073,1371.0,1371,91,high,run08,client
16646.0,04:37:26,boundary1,10.0.10.4,10,u,31.0,64,377,255,*,True,2.2324,-0.2729,30.3073,*boundary1       10.0.10.4       10 u   31   64  377   2.2324  -0.2729  30.3073,1386.0,1386,92,high,run08,client
16661.0,04:37:41,boundary1,10.0.10.4,10,u,46.0,64,377,255,*,True,2.2324,-0.2729,30.3073,*boundary1       10.0.10.4       10 u   46   64  377   2.2324  -0.2729  30.3073,1401.0,1401,93,high,run08,client
16676.0,04:37:56,boundary1,10.0.10.4,10,u,61.0,64,377,255,*,True,2.2324,-0.2729,30.3073,*boundary1       10.0.10.4       10 u   61   64  377   2.2324  -0.2729  30.3073,1416.0,1416,94,high,run08,client
16691.0,04:38:11,boundary1,10.0.10.4,10,u,7.0,64,377,255,*,True,2.2324,-0.2729,30.5543,*boundary1       10.0.10.4       10 u    7   64  377   2.2324  -0.2729  30.5543,1431.0,1431,95,high,run08,client
16706.0,04:38:26,boundary1,10.0.10.4,10,u,22.0,64,377,255,*,True,2.2324,-0.2729,30.5543,*boundary1       10.0.10.4       10 u   22   64  377   2.2324  -0.2729  30.5543,1446.0,1446,96,high,run08,client
16721.0,04:38:41,boundary1,10.0.10.4,10,u,37.0,64,377,255,*,True,2.2324,-0.2729,30.5543,*boundary1       10.0.10.4       10 u   37   64  377   2.2324  -0.2729  30.5543,1461.0,1461,97,high,run08,client
16736.0,04:38:56,boundary1,10.0.10.4,10,u,52.0,64,377,255,*,True,2.2324,-0.2729,30.5543,*boundary1       10.0.10.4       10 u   52   64  377   2.2324  -0.2729  30.5543,1476.0,1476,98,high,run08,client
16751.0,04:39:11,boundary1,10.0.10.4,10,u,2.0,64,377,255,*,True,2.2324,-0.2729,30.6505,*boundary1       10.0.10.4       10 u    2   64  377   2.2324  -0.2729  30.6505,1491.0,1491,99,high,run08,client
